5690
5690
5910
[0, 0, 1, 1000, 0, 0.5, 0.0, 0.5416666666666666]
Iteration 1, loss = 0.65760701
Iteration 2, loss = 0.60219734
Iteration 3, loss = 0.57416122
Iteration 4, loss = 0.56729426
Iteration 5, loss = 0.56271830
Iteration 6, loss = 0.55912497
Iteration 7, loss = 0.55711982
Iteration 8, loss = 0.55657584
Iteration 9, loss = 0.55321446
Iteration 10, loss = 0.55293109
Iteration 11, loss = 0.55126090
Iteration 12, loss = 0.55161653
Iteration 13, loss = 0.55005363
Iteration 14, loss = 0.54875232
Iteration 15, loss = 0.55115258
Iteration 16, loss = 0.55027112
Iteration 17, loss = 0.54751900
Iteration 18, loss = 0.54665022
Iteration 19, loss = 0.54549391
Iteration 20, loss = 0.54510337
Iteration 21, loss = 0.54511833
Iteration 22, loss = 0.54541166
Iteration 23, loss = 0.54352753
Iteration 24, loss = 0.54498180
Iteration 25, loss = 0.54325737
Iteration 26, loss = 0.54339959
Iteration 27, loss = 0.54388149
Iteration 28, loss = 0.54173823
Iteration 29, loss = 0.54295189
Iteration 30, loss = 0.54200779
Iteration 31, loss = 0.54159314
Iteration 32, loss = 0.54056068
Iteration 33, loss = 0.54162696
Iteration 34, loss = 0.54233431
Iteration 35, loss = 0.54446817
Iteration 36, loss = 0.54063121
Iteration 37, loss = 0.54060785
Iteration 38, loss = 0.54010593
Iteration 39, loss = 0.53960448
Iteration 40, loss = 0.53933207
Iteration 41, loss = 0.53868578
Iteration 42, loss = 0.53845657
Iteration 43, loss = 0.53979330
Iteration 44, loss = 0.53787613
Iteration 45, loss = 0.53756008
Iteration 46, loss = 0.53910957
Iteration 47, loss = 0.53894995
Iteration 48, loss = 0.53762428
Iteration 49, loss = 0.53752129
Iteration 50, loss = 0.53867193
Iteration 51, loss = 0.53815136
Iteration 52, loss = 0.53944768
Iteration 53, loss = 0.53687174
Iteration 54, loss = 0.53688143
Iteration 55, loss = 0.53682476
Iteration 56, loss = 0.53712668
Iteration 57, loss = 0.53735907
Iteration 58, loss = 0.53686695
Iteration 59, loss = 0.53645976
Iteration 60, loss = 0.53682278
Iteration 61, loss = 0.53523762
Iteration 62, loss = 0.53646343
Iteration 63, loss = 0.53676270
Iteration 64, loss = 0.53833236
Iteration 65, loss = 0.53718389
Iteration 66, loss = 0.53535471
Iteration 67, loss = 0.53603708
