0,"It is drawn from the novel of the same name by James Ellroy and stars Josh Hartnett , Scarlett Johansson , Aaron Eckhart and Hilary Swank ."
1,"Hopper 's later work included a leading role in the short-lived television series Crash  ( 2008 -- 2009 )  , inspired by the Academy Award-winning film of the same name ."
2,"Bal Gangadhar Tilak  ( or Lokmanya Tilak , ; 23 July 1856 -- 1 August 1920 )  , born as Keshav Gangadhar Tilak , was an Indian nationalist , teacher , social reformer , lawyer and an independence activist ."
3,"In 2013 , Evans starred as the main antagonist Owen Shaw in the blockbuster Fast & Furious 6 , and also played Bard the Bowman in Peter Jackson 's three-part adaptation of J. R. R. Tolkien 's The Hobbit ."
4,"Colin Edward Quinn  ( born June 6 , 1959 )  is an American stand-up comedian , actor , and writer ."
5,"It is the only European country to have a border with an African country  ( Morocco )  and its African territory accounts for nearly 5 % of its population , mostly in the Canary Islands but also in Ceuta and Melilla ."
6,"Born in Oviedo , the capital of the autonomous region of Asturias , Alonso started in karting from the age of 3 ."
7,"Manchester City Football Club is a football club in Manchester , England ."
8,"Quinoa  (  [ ˈkiːnwɑː ]  or  [ kɪˈnoʊ.ə ]  , from Quechua kinwa or kinuwa )  is the common name for Chenopodium quinoa , a flowering plant in the amaranth family Amaranthaceae ."
9,"Evan Rachel Wood  ( born September 7 , 1987 )  is an American actress and musician ."
10,"Ready Player One is a 2011 dystopian science-fiction novel , and the debut novel by Ernest Cline ."
11,"During its brief flyby , New Horizons made detailed measurements and observations of Pluto and its moons ."
12,"Sarandon began her career in the 1970 film Joe , before appearing in the soap opera A World Apart  ( 1970 -- 71 )  ."
13,"The English Civil War  ( 1642 -- 1651 )  was a series of armed conflicts and political machinations between Parliamentarians  ( `` Roundheads '' )  and Royalists  ( `` Cavaliers '' )  over , principally , the manner of England 's government ."
14,"She received more acclaim for portraying Queen Victoria in The Young Victoria  ( 2009 )  , receiving a nomination for the Golden Globe Award for Best Actress in a Motion Picture -- Drama ."
15,Kidman 's breakthrough roles were in the 1989 feature film thriller Dead Calm and television thriller miniseries Bangkok Hilton .
16,"The club have been FA Cup finalists four times , in 1948 -- 49 , 1960 -- 61 , 1962 -- 63 and 1968 -- 69 ."
17,"Starring Dan Stevens , Maika Monroe , Leland Orser , Sheila Kelley , Brendan Meyer , and Lance Reddick , the plot follows a soldier named `` David '' unexpectedly visiting the Peterson family , introducing himself as a friend of their son who had died during the Afghanistan war ."
18,"Dame Angela Brigid Lansbury ,  ( born 16 October 1925 )  is a British-American-Irish actress who has appeared in theatre , television and film , as well as a producer , voice actress , singer , and songwriter ."
19,Juana la Virgen  ( English : Juana the Virgin )  is a 2002 Venezuelan telenovela written by Perla Farias and produced by RCTV .
20,"Seal Henry Olusegun Olumide Adeola Samuel  ( born 19 February 1963 )  , better known by his stage name Seal , is an English singer and songwriter ."
21,"Stand-up comedy is a comic style in which a comedian performs in front of a live audience , usually speaking directly to them ."
22,"Three of his films ranked in the American Film Institute 's list of the top 100 comedy films of the past 100 years  ( 1900 -- 2000 )  , all of which ranked in the top 15 of the list : Blazing Saddles at number 6 , The Producers at number 11 , and Young Frankenstein at number 13 ."
23,"Abraham Lincoln  (  [ ˈeɪbrəhæm ˈlIŋkən ]  February 12 , 1809 -- April 15 , 1865 )  was an American politician and lawyer who served as the 16th President of the United States from March 1861 until his assassination in April 1865 ."
24,"De Profundis  ( Latin : `` from the depths '' )  is a letter written by Oscar Wilde during his imprisonment in Reading Gaol , to `` Bosie ''  ( Lord Alfred Douglas )  ."
25,"The series follows the adventures of a late-20th-century New York City pizza delivery boy , Philip J. Fry , who , after being unwittingly cryogenically frozen for one thousand years , finds employment at Planet Express , an interplanetary delivery company in the retro-futuristic 31st century ."
26,"Walter Bruce Willis  ( born March 19 , 1955 )  is an American actor , producer , and singer ."
27,"The city is also a major rail , highway , and air-transport hub served by two international airports : Paris-Charles de Gaulle  ( the second busiest airport in Europe after London Heathrow Airport with 63.8 million passengers in 2014 )  and Paris-Orly ."
28,"After an interval as a teacher , she returned to the same university to study art history , and received a master 's degree in 1918 ."
29,"David Koepp  ( born June 9 , 1963 )  is an American screenwriter and director ."
30,"Uruguay also won the 1980 Mundialito , a tournament among former World Cup champions ."
31,"Hilda Roderick Ellis Davidson  ( born Hilda Roderick Ellis , 1 October 1914 -- January 2006 )  was an English antiquarian and academic , writing in particular on Germanic paganism and Celtic paganism ."
32,"The film stars Emily Blunt , Rebecca Ferguson , Haley Bennett , Justin Theroux , Luke Evans , Allison Janney , Édgar Ramírez , and Lisa Kudrow , and follows an alcoholic divorcée who becomes involved in a missing persons investigation ."
33,"Paul Dano and John Cusack star as the young and middle-aged Wilson , respectively , with Elizabeth Banks as Wilson 's second wife Melinda Ledbetter , and Paul Giamatti as Wilson 's psychotherapist Dr. Eugene Landy ."
34,"William McKinley Jr.  ( January 29 , 1843 -- September 14 , 1901 )  was an American politician and lawyer who served as the 25th President of the United States from March 4 , 1897 until his assassination in September 1901 , six months into his second term ."
35,"Elected to the United States House of Representatives in 1846 , Lincoln promoted rapid modernization of the economy through banks , tariffs , and railroads ."
36,"It is a unitary parliamentary republic , has 10.5 million inhabitants and the capital and largest city is Prague , with over 1.2 million residents ."
37,"The film was directed by Shawn Levy , narrated by Bonnie Hunt , and starring Steve Martin ."
38,"The series follows the experiences of teenager Sonny Munroe , portrayed by Demi Lovato , who becomes the newest accepted cast member of her favorite live comedy television show , So Random !"
39,The end of the Cold War and the dissolution of the Soviet Union in 1991 left the United States as the world 's sole superpower .
40,"Nazi Germany is the common English name for the period in German history from 1933 to 1945 , when Germany was governed by a dictatorship under the control of Adolf Hitler and the Nazi Party  ( NSDAP )  ."
41,"Obama campaigned for her husband 's presidential bid throughout 2007 and 2008 , delivering a keynote address at the 2008 Democratic National Convention ."
42,"Throughout his tenure in the WWF/WWE , Angle was a six-time world champion  ( four reigns as WWF/WWE Champion , one as WCW Champion , and one as WWE 's World Heavyweight Champion )  , a one-time United States Champion , one-time Intercontinental Champion , one-time European Champion , one-time Hardcore Champion , and one-time WWE Tag Team Champion ."
43,"Philip V  ( Felipe V , Philippe , Filippo 19 December 1683 -- 9 July 1746 )  was King of Spain from 1 November 1700 to 15 January 1724 , when he abdicated in favour of his son Louis , and from 6 September 1724 , when he reassumed the throne upon his son 's death , to his own death 9 July 1746 ."
44,"Many victims were said to have been killed in a mixed-use building he owned , located about 3 mi west of the 1893 Chicago World 's Fair and said to have been a World 's Fair Hotel , though evidence suggests that the hotel portion was never truly open for business ."
45,The Comeback is an American television comedy-drama series produced by HBO that stars actress Lisa Kudrow as sitcom actress Valerie Cherish in modern-day Los Angeles .
46,"Her sexually explicit behavior generated widespread controversy while promoting her fourth album Bangerz  ( 2013 )  , her first under her recording contract with RCA Records ."
47,"Ricardo Leyva Muñoz Ramírez , known as Richard Ramirez  ( February 29 , 1960 -- June 7 , 2013 )  , was an American serial killer , rapist , and burglar ."
48,"Splash is a 1984 American fantasy romantic comedy film directed by Ron Howard , written by Lowell Ganz and Babaloo Mandel , and starring Tom Hanks , Daryl Hannah , John Candy , Eugene Levy , and Dody Goodman ."
49,"Beckham 's professional club career began with Manchester United , where he made his first-team debut in 1992 aged 17 ."
50,"Lonesome Dove also won two Golden Globes , for Best Miniseries and Best Actor in a Miniseries  ( Robert Duvall )  ."
51,"Ashley Judd  ( born Ashley Tyler Ciminella ; April 19 , 1968 )  is an American actress and political activist ."
52,Many different authors contributed to the Bible .
53,"The Great British Sewing Bee is a BBC Two reality game show between 2 April 2013 and 4 July 2016 , in which amateur sewers compete to be named `` Britain 's best home sewer '' ."
54,"The original cast included John Castle , Tony Selby , Ronald Pickup , Dennis Waterman , William Stewart , Barbara Ferris , Lucy Fleming , Gwen Nelson and Alison Fraser ."
55,"Burke rose to fame after winning the fifth series of British television series The X Factor in 2008 , becoming one of the most successful winners of the series ."
56,"Subhas Chandra Bose  ( 23 January 1897 -- 18 August 1945 )  was an Indian nationalist whose defiant patriotism made him a hero in India , but whose attempt during World War II to rid India of British rule with the help of Nazi Germany and Imperial Japan left a troubled legacy ."
57,The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert .
58,Recording sessions for the album took place at several locations in both the United Kingdom and North America from January to August 1969 .
59,"Charles Robert Redford Jr.  ( born August 18 , 1936 )  is an American actor , director , producer , businessman , environmentalist , and philanthropist ."
60,Beautiful People was a British comedy drama television series based on the memoirs of Barneys creative director Simon Doonan .
61,"Istanbul  (  [ ˌɪstænˈbʊl ]  ,  [ - ˈbuːl ]  or  [ - stɑːn - ]  İstanbul  [ isˈtɑnbuɫ ]  )  , historically known as Constantinople and Byzantium , is the most populous city in Turkey and the country 's economic , cultural , and historic center ."
62,Dhool  ( Super )  is a 2003 Indian Tamil-language action masala film directed by Dharani .
63,"In addition to chronicling the friendships and romantic relationships of the characters , the show also addressed numerous topical issues such as date rape , gay rights , animal rights , alcoholism , drug abuse , domestic violence , sex , antisemitism , racism , teenage suicide , teenage pregnancy , and AIDS ."
64,"T-Pain is the founder of the record label imprint Nappy Boy Entertainment , established in 2005 ."
65,It is an academic discipline and a social science which seeks to understand individuals and groups by establishing general principles and researching specific cases .
66,"Asset management , broadly defined , refers to any system that monitors and maintains things of value to an entity or group ."
67,"Vanilla Sky is a 2001 American science fiction psychological thriller film directed , written , and co-produced by Cameron Crowe ."
68,"The sport is followed primarily in Australasia , Britain , the Indian subcontinent , southern Africa and the West Indies ."
69,"The book was published by RazorBill , a young adult imprint of Penguin Books ."
70,"Kalpana Raghavendar is an Indian playback singer , dubbing voice-actor , songwriter and actor ."
71,"The Carmichael Show is an American sitcom television series created by Nicholas Stoller , Jerrod Carmichael , Ari Katcher , and Willie Hunter that premiered on August 26 , 2015 , on NBC ."
72,"Paradise is the third extended play  ( EP )  and second major release by American singer and songwriter Lana Del Rey ; it was released on November 9 , 2012 by Universal Music ."
73,"Imagine Dragons is an American rock band from Las Vegas , Nevada , consisting of lead vocalist Dan Reynolds , lead guitarist Wayne Sermon , bassist Ben McKee , and drummer Daniel Platzman ."
74,"After receiving the Artist of the Year award from the 2008 Mnet Korean Music Festival , the group expanded their endeavors to Japan , releasing both their second Korean studio-album , Remember , and their first Japanese album , Number 1 , in the same year , and consequently winning three awards at the 9th MTV Video Music Awards Japan ."
75,"The film stars Robert De Niro , Leslie Mann , Danny DeVito , Edie Falco , Veronica Ferres , Charles Grodin , Cloris Leachman , Patti LuPone and Harvey Keitel ."
76,"Sons of Anarchy is an American crime drama television series created by Kurt Sutter , which aired from 2008 to 2014 ."
77,"The release of the band 's third studio album , A Little Bit Longer  ( 2008 )  , helped the band achieve further success ; the album 's lead single hit the top five on the Billboard Hot 100 chart ."
78,"Victoria Leigh Blum  ( born October 15 , 1955 )  , known by the stage name Tanya Roberts , is an American actress and producer ."
79,"Philadelphia  (  [ ˌfɪləˈdɛlfi.ə ]  )  is the largest city in the Commonwealth of Pennsylvania and the sixth-most populous city in the United States , with an estimated population of 1,567,872 and more than 6 million in the seventh-largest metropolitan statistical area , ."
80,"Fences is a 2016 American period drama film directed by and starring Denzel Washington and written by August Wilson , based on his Pulitzer Prize-winning play of the same name  ( Wilson died in 2005 , but completed a screenplay before his death )  ."
81,"Sunburn is a 1979 British-American comedy film directed by Richard C. Sarafian and written by James Booth , John Daly and Stephen Oliver ."
